Time;CH 1 Channel 1
0.003997020;1
0.003999820;0
0.003999920;1
0.004000020;0
0.004000120;1
0.004000220;0
0.004000320;1
0.004000420;0
0.004000520;1
0.004000620;0
0.004000720;1
0.004000820;0
0.004000920;1
0.004001020;0
0.004001120;1
0.004001220;0
0.004001320;1
0.004001420;0
0.004001520;1
0.004001620;0
0.004001720;1
0.004001820;0
0.004001920;1
0.004002020;0
0.004002120;1
0.004002220;0
0.004002320;1
0.004002420;0
0.004002520;1
0.004002620;0
0.004002720;1
0.004002820;0
0.004002920;1
0.004003020;0
0.004003120;1
0.004003220;0
0.004003320;1
0.004003420;0
0.004003520;1
0.004003620;0
0.004003720;1
0.004003820;0
0.004003920;1
0.004004020;0
0.004004120;1
0.004004220;0
0.004004320;1
0.004004420;0
0.004004520;1
0.004004620;0
0.004004720;1
0.004004820;0
0.004004920;1
0.004005020;0
0.004005120;1
0.004005220;0
0.004005320;1
0.004005420;0
0.004005520;1
0.004005620;0
0.004005720;1
0.004005820;0
0.004005920;1
0.004006020;0
0.004006060;1
0.004006120;0
0.004006160;1
0.004006220;0
0.004006260;1
0.004006320;0
0.004006360;1
0.004006420;0
0.004006460;1
0.004006520;0
0.004006560;1
0.004006620;0
0.004006660;1
0.004006720;0
0.004006760;1
0.004006820;0
0.004006860;1
0.004006920;0
0.004006960;1
0.004007020;0
0.004007060;1
0.004007120;0
0.004007160;1
0.004007220;0
0.004007260;1
0.004007320;0
0.004007360;1
0.004007420;0
0.004007460;1
0.004007520;0
0.004007560;1
0.004007620;0
0.004007660;1
0.004007720;0
0.004007760;1
0.004007820;0
0.004007860;1
0.004007920;0
0.004007960;1
0.004008020;0
0.004008060;1
0.004008120;0
0.004008160;1
0.004008220;0
0.004008260;1
0.004008320;0
0.004008360;1
0.004008420;0
0.004008460;1
0.004008520;0
0.004008560;1
0.004008620;0
0.004008660;1
0.004008720;0
0.004008760;1
0.004008820;0
0.004008860;1
0.004008920;0
0.004008960;1
0.004009020;0
0.004009060;1
0.004009120;0
0.004009160;1
0.004009220;0
0.004009260;1
0.004009320;0
0.004009360;1
0.004009420;0
0.004009460;1
0.004009520;0
0.004009560;1
0.004009620;0
0.004009660;1
0.004009720;0
0.004009760;1
0.004009820;0
0.004009860;1
0.004009920;0
0.004009960;1
0.004010020;0
0.004010060;1
0.004010120;0
0.004010160;1
0.004010220;0
0.004010260;1
0.004010320;0
0.004010360;1
0.004010420;0
0.004010460;1
0.004010520;0
0.004010560;1
0.004010620;0
0.004010660;1
0.004010720;0
0.004010760;1
0.004010820;0
0.004010860;1
0.004010920;0
0.004011020;1
0.004011080;0
0.004011120;1
0.004011180;0
0.004011220;1
0.004011280;0
0.004011320;1
0.004011420;0
0.004011520;1
0.004011580;0
0.004011620;1
0.004011680;0
0.004011720;1
0.004011780;0
0.004011820;1
0.004011920;0
0.004012020;1
0.004012080;0
0.004012120;1
0.004012180;0
0.004012220;1
0.004012280;0
0.004012320;1
0.004012380;0
0.004012420;1
0.004012520;0
0.004012620;1
0.004012720;0
0.004012760;1
0.004012820;0
0.004012920;1
0.004012980;0
0.004013020;1
0.004013080;0
0.004013120;1
0.004013180;0
0.004013220;1
0.004013320;0
0.004013420;1
0.004013480;0
0.004013520;1
0.004013580;0
0.004013620;1
0.004013720;0
0.004013760;1
0.004013820;0
0.004013920;1
0.004013980;0
0.004014020;1
0.004014080;0
0.004014120;1
0.004014180;0
0.004014220;1
0.004014320;0
0.004014420;1
0.004014520;0
0.004014620;1
0.004014720;0
0.004014760;1
0.004014820;0
0.004014860;1
0.004014920;0
0.004015020;1
0.004015080;0
0.004015120;1
0.004015180;0
0.004015220;1
0.004015320;0
0.004015420;1
0.004015480;0
0.004015520;1
0.004015580;0
0.004015620;1
0.004015680;0
0.004015720;1
0.004015780;0
0.004015820;1
0.004015880;0
0.004015920;1
0.004015980;0
0.004016020;1
0.004016120;0
0.004016220;1
0.004016280;0
0.004016320;1
0.004016380;0
0.004016420;1
0.004016520;0
0.004016560;1
0.004016620;0
0.004016720;1
0.004016820;0
0.004016920;1
0.004017020;0
0.004017060;1
0.004017120;0
0.004017220;1
0.004017320;0
0.004017420;1
0.004017480;0
0.004017520;1
0.004017580;0
0.004017620;1
0.004017720;0
0.004017820;1
0.004017880;0
0.004017920;1
0.004018020;0
0.004018120;1
0.004018220;0
0.004018320;1
0.004018420;0
0.004018520;1
0.004018580;0
0.004018620;1
0.004018680;0
0.004018720;1
0.004018820;0
0.004018920;1
0.004018980;0
0.004019020;1
0.004019080;0
0.004019120;1
0.004019220;0
0.004019260;1
0.004019320;0
0.004019420;1
0.004019480;0
0.004019520;1
0.004019620;0
0.004019720;1
0.004019780;0
0.004019820;1
0.004019880;0
0.004019920;1
0.004020020;0
0.004020060;1
0.004020120;0
0.004020220;1
0.004020280;0
0.004020320;1
0.004020420;0
0.004020520;1
0.004020620;0
0.004020660;1
0.004020720;0
0.004020760;1
0.004020820;0
0.004020860;1
0.004020920;0
0.004021020;1
0.004021080;0
0.004021120;1
0.004021220;0
0.004021320;1
0.004021380;0
0.004021420;1
0.004021480;0
0.004021520;1
0.004021580;0
0.004021620;1
0.004021680;0
0.004021720;1
0.004021780;0
0.004021820;1
0.004021920;0
0.004022020;1
0.004022080;0
0.004022120;1
0.004022180;0
0.004022220;1
0.004022280;0
0.004022320;1
0.004022380;0
0.004022420;1
0.004022480;0
0.004022520;1
0.004022620;0
0.004022660;1
0.004022720;0
0.004022820;1
0.004022880;0
0.004022920;1
0.004022980;0
0.004023020;1
0.004023080;0
0.004023120;1
0.004023180;0
0.004023220;1
0.004023280;0
0.004023320;1
0.004023420;0
0.004023460;1
0.004023520;0
0.004023620;1
0.004023680;0
0.004023720;1
0.004023780;0
0.004023820;1
0.004023880;0
0.004023920;1
0.004023980;0
